,Civilité,Year,Type,section,Nationalité,ISO_code
456,Miss,2009-2010,Master,Life Sciences and Technologies,Swiss,
457,Miss,2009-2010,Master,Architecture,Swiss,
458,Mister,2009-2010,Master,Architecture,Swiss,
459,Mister,2009-2010,Master,Architecture,Swiss,
460,Miss,2009-2010,Master,Architecture,Swiss,
461,Mister,2009-2010,Master,Architecture,Swiss,
462,Miss,2009-2010,Bachelor,Architecture,Swiss,
463,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
464,Miss,2009-2010,Master,Architecture,French,
465,Mister,2009-2010,Master,Physics,French,
466,Miss,2009-2010,Bachelor,Physics,Swiss,
467,Mister,2009-2010,Master,Electrical and Electronics Engineering,Italian,
468,Mister,2009-2010,Master,Communication Systems,German,
469,Mister,2009-2010,Master,Physics,Swiss,
470,Mister,2009-2010,Master,Architecture,Portuguese,
471,Miss,2009-2010,Master,Architecture,Brazilian,
472,Mister,2009-2010,Master,Architecture,Swiss,
473,Mister,2009-2010,Master,Architecture,Swiss,
474,Mister,2009-2010,Master,Architecture,Spanish,
475,Miss,2009-2010,Master,Architecture,Swiss,
476,Miss,2009-2010,Master,Architecture,Swiss,
477,Miss,2009-2010,Bachelor,Architecture,Swiss,
478,Mister,2009-2010,Bachelor,Architecture,Swiss,
479,Mister,2009-2010,Master,Architecture,Swiss,
